Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-08-21,In Bruges,2008,https://letterboxd.com/rotoloboi/film/in-bruges/,3.5,,The absolute weirdest thing I’ve ever seen. The adults are children,,2018-08-21
2018-08-24,Searching,2018,https://letterboxd.com/rotoloboi/film/searching-2018/,3.5,,The attention to detail in this film was amazing. Every detail is valuable and every answer is given in the film.,,2018-08-23
2018-08-25,Léon: The Professional,1994,https://letterboxd.com/rotoloboi/film/leon-the-professional/,4.5,,Lolita meets Pulp Fiction.,,2018-08-24
2018-09-05,Vertigo,1958,https://letterboxd.com/rotoloboi/film/vertigo/,5,,Amazing story and execution,,2018-09-05
2018-09-16,Hereditary,2018,https://letterboxd.com/rotoloboi/film/hereditary/,5,,My Fitbit logged an exercise because my heart rate was never under 103.,,2018-09-15
2018-09-29,Split,2016,https://letterboxd.com/rotoloboi/film/split-2016/,3.5,,Typical shyamalan,,2018-09-22
2018-09-29,Eighth Grade,2018,https://letterboxd.com/rotoloboi/film/eighth-grade/,4.5,,Heart breaking,,2018-09-28
2018-10-03,The Killing of a Sacred Deer,2017,https://letterboxd.com/rotoloboi/film/the-killing-of-a-sacred-deer/,4,,Literally Iphigenia put to film. Crazy crazy weird af lobster on a rollercoaster.,,2018-10-02
2018-10-05,The Witch,2015,https://letterboxd.com/rotoloboi/film/the-witch-2015/,4,,Chekhov’s Goat.,,2018-10-04
2018-10-08,Don't Breathe,2016,https://letterboxd.com/rotoloboi/film/dont-breathe-2016/,3,,13 reasons why you should always kill the dog.,,2018-10-08
2018-10-16,"I, Tonya",2017,https://letterboxd.com/rotoloboi/film/i-tonya/,3.5,,"I, Bored (just kidding this was good)",,2018-10-15
2018-10-17,The Edge of Seventeen,2016,https://letterboxd.com/rotoloboi/film/the-edge-of-seventeen/,3.5,,And to think the only thing my high school teachers gave me was stomach ulcers.,,2018-10-16
2018-10-22,Sorry to Bother You,2018,https://letterboxd.com/rotoloboi/film/sorry-to-bother-you/,5,,Nice earrings,,2018-10-22
2018-10-24,Lady Bird,2017,https://letterboxd.com/rotoloboi/film/lady-bird/,4.5,,Juno Bird,,2018-10-23
2018-10-24,Baby Driver,2017,https://letterboxd.com/rotoloboi/film/baby-driver/,4,,This movie shouldn’t have been good,,2018-10-23
2018-11-03,A Star Is Born,2018,https://letterboxd.com/rotoloboi/film/a-star-is-born-2018/,4,,Oh? I’m crying now? Tight!,,2018-11-02
2018-11-19,Boy Erased,2018,https://letterboxd.com/rotoloboi/film/boy-erased/,4,,This was real.,,2018-11-18
2018-11-30,Henry Gamble's Birthday Party,2015,https://letterboxd.com/rotoloboi/film/henry-gambles-birthday-party/,2.5,,I can only hope for this much drunken adult behavior to bless me with its presence by the time I’m 40,,2018-11-29
2018-12-07,The Florida Project,2017,https://letterboxd.com/rotoloboi/film/the-florida-project/,3.5,,Same pace throughout entire movie until ending hit a roadblock,,2018-12-06
2018-12-09,The Times of Harvey Milk,1984,https://letterboxd.com/rotoloboi/film/the-times-of-harvey-milk/,4.5,,Straight white men ruining everything again,,2018-12-08
2018-12-10,mother!,2017,https://letterboxd.com/rotoloboi/film/mother-2017/,2.5,,I could have done 12 sudokus and saved myself the stomach ulcers in the time I wasted watching this,,2018-12-10
2018-12-15,Dumplin',2018,https://letterboxd.com/rotoloboi/film/dumplin/,2.5,,As per usual the drag queens save the day,,2018-12-14
2018-12-15,Scrooge,1935,https://letterboxd.com/rotoloboi/film/scrooge-1935/,3,,Slow classic,,2018-12-14
2018-12-17,Springsteen On Broadway,2018,https://letterboxd.com/rotoloboi/film/springsteen-on-broadway/,3.5,,The boss makes the most of 2.5 hrs but this format is prone to staleness,,2018-12-16
2018-12-18,Vox Lux,2018,https://letterboxd.com/rotoloboi/film/vox-lux/,5,,Who is going to remedy Natalie Portman’s fixation with feathers?,,2018-12-17
2018-12-22,BlacKkKlansman,2018,https://letterboxd.com/rotoloboi/film/blackkklansman/,5,,The best movie of 2018.,,2018-12-21
2018-12-24,Suspiria,2018,https://letterboxd.com/rotoloboi/film/suspiria-2018/,4.5,,Rosemary’s ballet studio,,2018-12-23
2018-12-27,The Favourite,2018,https://letterboxd.com/rotoloboi/film/the-favourite/,4,,The regal killing of a sacred lobster,,2018-12-26
2018-12-29,Mary Poppins Returns,2018,https://letterboxd.com/rotoloboi/film/mary-poppins-returns/,2.5,,Mary isn’t known for brevity,,2018-12-28
